ecg_id,channel-0,channel-1,channel-2,channel-3,channel-4,channel-5,channel-6,channel-7,channel-8,channel-9,channel-10,channel-11
1,-0.141,-0.1,0.041,0.12,-0.091,-0.029,-0.021,0.005,-0.029,-0.019,-0.055,-0.046
1,-0.158,-0.106,0.051,0.132,-0.104,-0.027,-0.025,-0.001,-0.031,-0.013,-0.054,-0.043
1,-0.174,-0.102,0.072,0.138,-0.123,-0.015,-0.03,-0.006,-0.029,-0.01,-0.05,-0.041
1,-0.167,-0.098,0.07,0.132,-0.118,-0.014,-0.034,-0.012,-0.031,-0.018,-0.05,-0.037
1,-0.168,-0.093,0.075,0.13,-0.121,-0.009,-0.033,-0.016,-0.027,-0.033,-0.048,-0.035
1,-0.165,-0.09,0.076,0.127,-0.12,-0.007,-0.029,-0.014,-0.024,-0.037,-0.044,-0.031
1,-0.158,-0.084,0.074,0.121,-0.116,-0.005,-0.027,-0.011,-0.02,-0.035,-0.046,-0.03
1,-0.153,-0.077,0.075,0.114,-0.114,-0.001,-0.024,-0.008,-0.017,-0.035,-0.041,-0.035
1,-0.119,-0.071,0.048,0.095,-0.084,-0.011,-0.021,-0.006,-0.012,-0.035,-0.04,-0.035
1,-0.113,-0.063,0.05,0.088,-0.081,-0.006,-0.02,-0.003,-0.01,-0.035,-0.04,-0.03
1,-0.118,-0.061,0.057,0.09,-0.087,-0.002,-0.02,-0.01,-0.026,-0.035,-0.035,-0.028
1,-0.106,-0.057,0.049,0.081,-0.077,-0.004,-0.02,-0.021,-0.031,-0.03,-0.035,-0.023
1,-0.149,-0.087,0.062,0.118,-0.105,-0.012,-0.02,-0.016,-0.023,-0.03,-0.035,-0.02
1,-0.148,-0.09,0.058,0.119,-0.103,-0.016,-0.02,-0.013,-0.02,-0.029,-0.035,-0.032
1,-0.132,-0.082,0.05,0.107,-0.091,-0.015,-0.02,-0.009,-0.012,-0.024,-0.035,-0.032
1,-0.122,-0.074,0.048,0.098,-0.085,-0.012,-0.017,-0.005,-0.007,-0.026,-0.033,-0.024
1,-0.13,-0.058,0.072,0.094,-0.1,0.006,-0.009,-0.003,-0.003,-0.021,-0.023,-0.018
1,-0.126,-0.058,0.068,0.092,-0.097,0.005,-0.001,0.008,0.005,-0.007,-0.015,-0.011
1,-0.051,0.013,0.064,0.018,-0.057,0.038,0.006,0.017,0.007,0.007,-0.006,-0.003
1,-0.072,0.016,0.088,0.028,-0.08,0.052,0.016,0.028,0.019,0.017,0.002,0.008
1,-0.098,-0.023,0.075,0.06,-0.086,0.026,-0.01,0.029,0.015,0.012,0.005,0.017
1,-0.081,-0.002,0.079,0.041,-0.079,0.038,-0.038,0.031,0.027,0.031,0.024,0.033
1,-0.06,-0.005,0.055,0.032,-0.057,0.025,-0.034,0.024,0.041,0.038,0.031,0.033
1,-0.069,-0.039,0.03,0.054,-0.049,-0.005,-0.032,-0.011,0.005,0.005,0.003,0.015
1,-0.106,-0.081,0.025,0.093,-0.065,-0.028,-0.029,-0.024,-0.002,-0.026,-0.036,0.005
1,-0.119,-0.105,0.014,0.112,-0.066,-0.045,-0.026,-0.037,-0.006,-0.027,-0.04,-0.008
1,-0.148,-0.114,0.033,0.131,-0.09,-0.04,-0.024,-0.043,-0.03,-0.033,-0.041,-0.019
1,-0.129,-0.106,0.023,0.118,-0.076,-0.041,-0.041,-0.044,-0.054,-0.066,-0.064,-0.028
1,-0.126,-0.102,0.025,0.114,-0.075,-0.038,-0.036,-0.033,-0.049,-0.064,-0.059,-0.022
1,-0.152,-0.109,0.043,0.13,-0.097,-0.033,-0.02,-0.028,-0.031,-0.062,-0.053,-0.004
1,-0.131,-0.14,-0.009,0.135,-0.06,-0.074,0.002,0.031,-0.03,-0.062,-0.068,-0.04
1,-0.107,-0.047,0.06,0.077,-0.083,0.007,0.09,0.225,0.121,0.056,0.007,-0.023
1,0.208,0.213,0.005,-0.211,0.101,0.109,0.003,0.379,0.476,0.415,0.301,0.194
1,0.521,0.302,-0.219,-0.411,0.37,0.041,-0.367,-0.158,0.327,0.467,0.496,0.409
1,0.251,0.117,-0.134,-0.183,0.192,-0.008,-0.649,-1.181,-0.386,-0.046,0.269,0.405
1,-0.045,-0.053,-0.008,0.049,-0.019,-0.03,-0.59,-1.206,-0.575,-0.271,0.038,0.276
1,-0.117,-0.092,0.025,0.104,-0.071,-0.033,-0.338,-0.579,-0.312,-0.179,-0.033,0.136
1,-0.122,-0.086,0.036,0.103,-0.078,-0.025,-0.12,-0.223,-0.131,-0.13,-0.08,0.045
1,-0.108,-0.079,0.029,0.093,-0.068,-0.025,-0.032,-0.031,-0.042,-0.071,-0.071,0.02
1,-0.157,-0.097,0.06,0.127,-0.109,-0.018,-0.011,0.0,-0.027,-0.052,-0.069,0.006
1,-0.155,-0.101,0.054,0.128,-0.104,-0.023,0.014,0.024,-0.011,-0.041,-0.064,0.001
1,-0.135,-0.087,0.049,0.111,-0.092,-0.019,0.025,0.039,-0.011,-0.039,-0.059,-0.006
1,-0.138,-0.091,0.046,0.114,-0.092,-0.022,0.038,0.039,-0.005,-0.034,-0.056,-0.013
1,-0.134,-0.102,0.032,0.118,-0.083,-0.034,0.041,0.04,0.0,-0.029,-0.049,-0.019
1,-0.121,-0.098,0.023,0.11,-0.072,-0.037,0.039,0.045,0.003,-0.031,-0.048,-0.021
1,-0.143,-0.106,0.037,0.124,-0.089,-0.034,0.042,0.068,0.006,-0.029,-0.043,-0.019
1,-0.163,-0.099,0.065,0.131,-0.114,-0.017,0.044,0.063,0.004,-0.031,-0.042,-0.021
1,-0.131,-0.077,0.055,0.104,-0.093,-0.011,0.045,0.066,0.011,-0.029,-0.038,-0.019
1,-0.122,-0.083,0.039,0.103,-0.08,-0.021,0.047,0.064,0.009,-0.031,-0.036,-0.021
1,-0.135,-0.095,0.04,0.115,-0.087,-0.027,0.051,0.069,0.012,-0.026,-0.033,-0.018
1,-0.133,-0.098,0.034,0.115,-0.083,-0.032,0.049,0.082,0.017,-0.02,-0.028,-0.012
1,-0.134,-0.086,0.047,0.11,-0.09,-0.019,0.047,0.095,0.024,-0.012,-0.02,-0.002
1,-0.107,-0.071,0.036,0.089,-0.071,-0.017,0.041,0.112,0.032,-0.007,-0.016,0.004
1,-0.089,-0.06,0.03,0.075,-0.059,-0.015,0.043,0.134,0.035,0.007,-0.006,0.013
1,-0.066,-0.043,0.023,0.054,-0.044,-0.01,0.072,0.156,0.051,0.025,-0.004,0.019
1,-0.049,-0.023,0.026,0.036,-0.038,0.002,0.082,0.182,0.068,0.035,0.015,0.02
1,-0.094,-0.023,0.071,0.058,-0.082,0.024,0.083,0.22,0.095,0.064,0.053,0.052
1,-0.085,-0.006,0.079,0.045,-0.082,0.036,0.098,0.235,0.115,0.088,0.066,0.075
1,-0.018,0.059,0.077,-0.021,-0.048,0.068,0.091,0.254,0.138,0.125,0.106,0.106
1,0.02,0.094,0.074,-0.057,-0.027,0.083,0.081,0.264,0.17,0.158,0.146,0.14
1,0.039,0.105,0.066,-0.072,-0.014,0.085,0.073,0.247,0.172,0.173,0.161,0.16
1,0.072,0.137,0.065,-0.105,0.003,0.101,0.063,0.224,0.164,0.184,0.165,0.182
1,0.071,0.128,0.057,-0.099,0.006,0.092,0.056,0.186,0.156,0.173,0.155,0.18
1,0.048,0.104,0.056,-0.076,-0.004,0.079,0.045,0.142,0.143,0.152,0.143,0.16
1,0.011,0.072,0.061,-0.042,-0.026,0.067,0.045,0.092,0.116,0.109,0.107,0.121
1,-0.043,0.026,0.069,0.008,-0.056,0.047,0.044,0.074,0.074,0.061,0.065,0.078
1,-0.062,0.002,0.063,0.03,-0.063,0.032,0.036,0.052,0.039,0.03,0.028,0.045
1,-0.076,-0.025,0.051,0.05,-0.063,0.013,0.03,0.019,0.024,0.022,0.009,0.028
1,-0.091,-0.046,0.045,0.068,-0.068,-0.001,0.022,0.02,0.013,0.014,-0.006,0.018
1,-0.102,-0.067,0.035,0.085,-0.068,-0.016,0.017,0.01,0.004,0.002,-0.03,0.008
1,-0.114,-0.065,0.049,0.09,-0.081,-0.008,0.005,0.004,-0.002,-0.009,-0.036,0.004
1,-0.127,-0.06,0.067,0.093,-0.097,0.003,-0.006,-0.013,-0.01,-0.019,-0.035,-0.002
1,-0.125,-0.065,0.06,0.095,-0.092,-0.002,-0.001,-0.028,-0.015,-0.022,-0.035,-0.007
1,-0.123,-0.065,0.058,0.094,-0.09,-0.004,-0.002,-0.02,-0.023,-0.026,-0.035,-0.013
1,-0.135,-0.081,0.053,0.107,-0.094,-0.014,-0.004,-0.017,-0.023,-0.025,-0.034,-0.013
1,-0.124,-0.075,0.049,0.099,-0.086,-0.012,0.001,-0.012,-0.019,-0.025,-0.031,-0.009
1,-0.12,-0.07,0.05,0.094,-0.085,-0.01,0.004,-0.008,-0.021,-0.034,-0.028,-0.011
1,-0.137,-0.068,0.069,0.102,-0.103,0.001,0.008,-0.004,-0.02,-0.032,-0.025,-0.01
1,-0.144,-0.058,0.086,0.1,-0.115,0.014,0.011,0.002,-0.02,-0.026,-0.023,-0.01
1,-0.148,-0.074,0.073,0.111,-0.11,0.0,0.014,0.008,-0.02,-0.021,-0.019,-0.01
1,-0.161,-0.097,0.064,0.129,-0.112,-0.016,0.015,0.014,-0.014,-0.015,-0.026,-0.005
1,-0.156,-0.091,0.066,0.123,-0.111,-0.012,0.014,0.019,0.001,-0.01,-0.031,-0.003
1,-0.119,-0.065,0.054,0.092,-0.086,-0.005,0.016,0.024,0.022,-0.005,-0.029,0.002
1,-0.12,-0.085,0.035,0.102,-0.078,-0.024,0.014,0.025,0.025,-0.004,-0.03,0.002
1,-0.104,-0.07,0.035,0.087,-0.069,-0.017,0.016,0.03,0.025,0.0,-0.03,0.011
1,-0.073,-0.056,0.017,0.064,-0.045,-0.019,0.014,0.029,0.025,0.001,-0.03,0.022
1,-0.105,-0.081,0.024,0.093,-0.064,-0.028,0.005,0.025,0.02,-0.005,-0.026,0.029
1,-0.098,-0.054,0.044,0.076,-0.071,-0.005,0.008,0.023,0.02,-0.006,-0.019,0.041
1,-0.087,-0.061,0.027,0.074,-0.057,-0.017,0.015,0.019,0.018,-0.001,-0.012,0.037
1,-0.1,-0.068,0.032,0.083,-0.065,-0.018,0.019,0.018,0.016,0.0,-0.006,0.033
1,-0.083,-0.07,0.013,0.077,-0.048,-0.028,0.016,0.012,0.013,-0.005,0.002,0.03
1,-0.107,-0.081,0.026,0.094,-0.066,-0.027,0.01,0.026,0.023,-0.003,0.004,0.025
1,-0.111,-0.066,0.045,0.088,-0.078,-0.01,0.007,0.04,0.029,-0.001,-0.009,0.023
1,-0.058,-0.064,-0.007,0.061,-0.025,-0.035,-0.001,0.033,0.02,-0.014,-0.024,0.019
1,-0.074,-0.055,0.019,0.065,-0.046,-0.018,0.005,0.028,0.014,-0.021,-0.027,0.02
1,-0.085,-0.052,0.033,0.068,-0.059,-0.009,0.011,0.022,0.006,-0.02,-0.023,0.02
1,-0.076,-0.051,0.025,0.063,-0.05,-0.013,0.004,0.02,-0.002,-0.018,-0.019,0.02
1,-0.099,-0.048,0.051,0.074,-0.075,0.001,0.005,0.02,-0.003,-0.015,-0.016,0.02
1,-0.069,-0.045,0.024,0.057,-0.046,-0.011,0.005,0.02,0.0,-0.015,-0.011,0.02
1,-0.066,-0.034,0.032,0.05,-0.049,-0.001,0.005,0.02,0.0,-0.012,-0.011,0.022
1,-0.083,-0.054,0.029,0.068,-0.056,-0.012,0.005,0.02,0.0,-0.009,-0.027,0.021
1,-0.076,-0.07,0.006,0.073,-0.041,-0.031,0.004,0.02,0.0,-0.006,-0.033,0.02
1,-0.058,-0.056,0.002,0.057,-0.029,-0.027,0.006,0.015,0.001,-0.003,-0.026,0.02
1,-0.053,-0.059,-0.006,0.056,-0.023,-0.032,0.002,0.014,0.004,0.0,-0.025,0.02
1,-0.096,-0.06,0.036,0.078,-0.066,-0.012,0.015,0.01,0.005,-0.001,-0.02,0.019
1,-0.069,-0.06,0.009,0.065,-0.039,-0.026,0.033,0.007,0.008,-0.005,-0.017,0.023
1,-0.086,-0.065,0.022,0.076,-0.054,-0.021,0.024,0.005,0.011,-0.009,-0.014,0.025
1,-0.127,-0.065,0.062,0.096,-0.094,-0.002,0.024,0.004,0.006,-0.011,-0.009,0.026
1,-0.097,-0.063,0.034,0.08,-0.065,-0.015,0.018,0.015,-0.011,-0.017,-0.005,0.031
1,-0.103,-0.053,0.05,0.078,-0.076,-0.001,0.014,0.018,0.0,-0.001,0.001,0.028
1,-0.055,-0.024,0.031,0.039,-0.042,0.003,0.032,0.042,0.039,0.031,0.003,0.035
1,-0.011,0.029,0.039,-0.009,-0.025,0.034,0.032,0.063,0.056,0.043,0.013,0.046
1,-0.007,0.045,0.052,-0.019,-0.03,0.049,0.012,0.052,0.057,0.033,0.032,0.054
1,0.013,0.035,0.022,-0.024,-0.005,0.028,-0.016,0.049,0.059,0.03,0.042,0.069
1,0.001,0.027,0.026,-0.014,-0.013,0.026,-0.023,0.046,0.069,0.047,0.038,0.07
1,0.005,0.017,0.012,-0.011,-0.004,0.014,-0.009,0.039,0.064,0.044,0.043,0.07
1,-0.009,0.009,0.018,0.0,-0.014,0.014,0.003,0.036,0.038,0.032,0.039,0.069
1,-0.029,-0.029,0.0,0.029,-0.015,-0.014,0.004,0.02,0.012,0.011,-0.007,0.034
1,-0.037,-0.062,-0.025,0.049,-0.005,-0.044,-0.002,0.01,0.001,-0.014,-0.03,0.005
1,-0.102,-0.072,0.03,0.087,-0.066,-0.021,-0.001,0.003,-0.006,-0.028,-0.033,-0.003
1,-0.077,-0.068,0.008,0.073,-0.042,-0.03,-0.001,-0.011,-0.013,-0.021,-0.037,-0.009
1,-0.063,-0.073,-0.01,0.068,-0.026,-0.041,0.017,0.001,-0.011,-0.01,-0.031,-0.017
1,-0.101,-0.076,0.025,0.088,-0.062,-0.026,0.024,0.004,-0.006,0.0,-0.024,-0.024
1,-0.08,-0.074,0.007,0.077,-0.043,-0.033,0.053,0.092,0.007,-0.013,-0.041,-0.032
1,-0.025,0.022,0.047,0.002,-0.036,0.034,0.106,0.293,0.19,0.112,0.038,0.027
1,0.351,0.292,-0.059,-0.321,0.205,0.116,-0.033,0.387,0.538,0.495,0.379,0.276
1,0.559,0.343,-0.216,-0.451,0.387,0.064,-0.407,-0.331,0.227,0.413,0.499,0.472
1,0.226,0.122,-0.103,-0.174,0.164,0.009,-0.639,-1.273,-0.474,-0.117,0.215,0.414
1,-0.029,-0.001,0.028,0.015,-0.028,0.014,-0.526,-1.061,-0.514,-0.262,0.038,0.272
1,-0.106,-0.057,0.049,0.081,-0.077,-0.004,-0.27,-0.462,-0.26,-0.165,-0.031,0.146
1,-0.095,-0.062,0.033,0.078,-0.064,-0.014,-0.073,-0.149,-0.093,-0.095,-0.065,0.071
1,-0.067,-0.043,0.024,0.055,-0.045,-0.01,-0.004,0.002,-0.006,-0.046,-0.041,0.036
1,-0.115,-0.071,0.044,0.092,-0.079,-0.013,0.034,0.028,0.004,-0.032,-0.033,0.028
1,-0.101,-0.07,0.031,0.085,-0.066,-0.019,0.057,0.062,0.016,-0.023,-0.025,0.031
1,-0.1,-0.067,0.033,0.083,-0.066,-0.017,0.044,0.053,0.015,-0.023,-0.037,0.025
1,-0.121,-0.063,0.058,0.092,-0.089,-0.003,0.062,0.075,0.03,-0.015,-0.042,0.025
1,-0.112,-0.076,0.036,0.094,-0.074,-0.02,0.075,0.092,0.04,-0.012,-0.039,0.025
1,-0.089,-0.053,0.035,0.071,-0.062,-0.009,0.07,0.089,0.035,-0.007,-0.037,0.025
1,-0.015,0.007,0.022,0.004,-0.019,0.015,0.065,0.091,0.03,-0.001,-0.034,0.025
1,-0.024,-0.032,-0.008,0.028,-0.008,-0.02,0.062,0.089,0.026,-0.011,-0.035,0.025
1,-0.087,-0.052,0.035,0.069,-0.061,-0.008,0.056,0.091,0.021,-0.007,-0.03,0.025
1,-0.072,-0.01,0.062,0.041,-0.067,0.026,0.058,0.092,0.023,0.006,-0.024,0.025
1,-0.052,-0.002,0.05,0.027,-0.051,0.024,0.077,0.112,0.042,0.025,-0.021,0.026
1,-0.073,-0.015,0.058,0.043,-0.065,0.022,0.087,0.126,0.046,0.043,-0.015,0.032
1,-0.076,-0.023,0.053,0.049,-0.064,0.014,0.084,0.134,0.045,0.037,-0.013,0.032
1,-0.071,-0.011,0.06,0.04,-0.065,0.024,0.086,0.149,0.052,0.042,-0.006,0.04
1,-0.084,-0.019,0.065,0.051,-0.074,0.022,0.084,0.161,0.047,0.038,-0.003,0.038
1,-0.056,-0.011,0.045,0.033,-0.05,0.017,0.093,0.188,0.065,0.041,0.008,0.042
1,-0.032,0.012,0.044,0.01,-0.038,0.027,0.115,0.215,0.076,0.056,0.035,0.068
1,0.014,0.062,0.048,-0.038,-0.017,0.055,0.121,0.247,0.102,0.077,0.063,0.092
1,0.028,0.097,0.07,-0.063,-0.021,0.083,0.132,0.275,0.144,0.117,0.094,0.119
1,0.002,0.083,0.081,-0.043,-0.04,0.082,0.133,0.286,0.154,0.136,0.115,0.137
1,0.084,0.155,0.07,-0.12,0.007,0.112,0.115,0.299,0.184,0.18,0.163,0.176
1,0.11,0.182,0.072,-0.147,0.019,0.127,0.107,0.284,0.189,0.196,0.194,0.198
1,0.099,0.187,0.088,-0.143,0.005,0.138,0.098,0.244,0.176,0.181,0.184,0.197
1,0.103,0.183,0.08,-0.143,0.012,0.131,0.077,0.206,0.176,0.179,0.172,0.192
1,0.071,0.136,0.065,-0.104,0.002,0.101,0.061,0.166,0.139,0.139,0.134,0.158
1,0.043,0.11,0.067,-0.077,-0.012,0.088,0.055,0.123,0.108,0.107,0.103,0.124
1,0.025,0.072,0.047,-0.049,-0.011,0.059,0.05,0.094,0.094,0.089,0.077,0.088
1,-0.01,0.043,0.053,-0.017,-0.032,0.048,0.044,0.061,0.052,0.044,0.027,0.062
1,-0.084,-0.021,0.063,0.052,-0.074,0.021,0.039,0.037,0.02,0.01,0.013,0.046
1,-0.071,-0.008,0.063,0.039,-0.067,0.027,0.033,0.034,0.017,0.004,0.002,0.03
1,-0.057,-0.013,0.044,0.034,-0.051,0.016,0.03,0.025,0.011,-0.002,-0.021,0.025
1,-0.072,-0.034,0.038,0.053,-0.055,0.002,0.03,0.019,0.008,-0.01,-0.019,0.023
